product_id,product_name,category,subcategory,brand,unit_cost,unit_price,updated_at
PR-00057,Programmable fault-tolerant attitude,Office Supplies,Storage,Macdonald Ltd,94.38,121.3,2026-07-15T15:35:11.469125+00:00
PR-00058,Total asynchronous info-mediaries,Technology,Accessories,"Lawrence, Meza and Young",275.63,512.71,2026-07-15T15:35:11.469218+00:00
PR-00059,Distributed directional archive,Office Supplies,Paper,Brown Ltd,364.15,547.04,2026-07-15T15:35:11.469254+00:00
PR-00060,Up-sized radical knowledgebase,Technology,Accessories,Allen-Hernandez,67.89,136.37,2026-07-15T15:35:11.469318+00:00
PR-00061,Multi-tiered 24/7 paradigm,Furniture,Chairs,Williamson-English,71.88,107.58,2026-07-15T15:35:11.469382+00:00
PR-00062,Optimized context-sensitive framework,Furniture,Chairs,"Gay, Thomas and Parker",314.6,420.22,2026-07-15T15:35:11.469472+00:00
PR-00063,Triple-buffered bi-directional initiative,Office Supplies,Paper,Mendez-Espinoza,244.13,308.23,2026-07-15T15:35:11.469536+00:00
PR-00064,Organized bi-directional open system,Technology,Copiers,Keller-Ali,51.41,68.45,2026-07-15T15:35:11.469604+00:00
PR-00065,Customizable responsive product,Office Supplies,Paper,Roberts Group,174.36,384.52,2026-07-15T15:35:11.469641+00:00
PR-00066,Right-sized background info-mediaries,Technology,Copiers,Myers LLC,99.79,126.73,2026-07-15T15:35:11.469678+00:00
PR-00067,Exclusive fault-tolerant portal,Office Supplies,Paper,Jones-Wagner,394.5,531.52,2026-07-15T15:35:11.469747+00:00
PR-00068,Implemented reciprocal neural-net,Technology,Accessories,Peterson Group,368.91,497.04,2026-07-15T15:35:11.469784+00:00
PR-00069,Seamless 24/7 ability,Furniture,Tables,"Morgan, Gomez and Bailey",250.89,469.28,2026-07-15T15:35:11.469878+00:00
PR-00070,Organized contextually-based artificial intelligence,Furniture,Bookcases,Powell-Myers,77.25,160.83,2026-07-15T15:35:11.469939+00:00
PR-00071,Pre-emptive tangible encryption,Office Supplies,Paper,Clark PLC,360.21,625.0,2026-07-15T15:35:11.469973+00:00
PR-00072,Face-to-face heuristic project,Furniture,Bookcases,Bennett-Rios,161.55,323.9,2026-07-15T15:35:11.470038+00:00
PR-00073,Function-based needs-based hierarchy,Furniture,Tables,Mccall-Donaldson,379.08,655.75,2026-07-15T15:35:11.470103+00:00
PR-00074,Persevering system-worthy software,Office Supplies,Storage,"Lopez, Jacobs and Ford",28.42,47.34,2026-07-15T15:35:11.470196+00:00
PR-00075,Face-to-face incremental conglomeration,Office Supplies,Binders,"Allen, Jenkins and Fritz",374.8,754.48,2026-07-15T15:35:11.470289+00:00
PR-00076,Visionary analyzing alliance,Furniture,Chairs,Howell-Alvarez,373.7,714.11,2026-07-15T15:35:11.470354+00:00
PR-00077,Polarized bandwidth-monitored access,Technology,Phones,Ortega PLC,366.18,810.08,2026-07-15T15:35:11.470390+00:00
PR-00078,Self-enabling web-enabled neural-net,Furniture,Bookcases,Parks PLC,147.32,309.67,2026-07-15T15:35:11.470423+00:00
PR-00079,Implemented demand-driven portal,Office Supplies,Storage,"Dunlap, Reyes and Lane",192.26,359.06,2026-07-15T15:35:11.470515+00:00
PR-00080,User-centric context-sensitive policy,Furniture,Bookcases,Cameron-Johnson,321.27,523.64,2026-07-15T15:35:11.470579+00:00
PR-00081,Devolved clear-thinking moratorium,Office Supplies,Paper,Phillips-Murphy,158.15,238.59,2026-07-15T15:35:11.470643+00:00
PR-00082,Team-oriented empowering protocol,Technology,Accessories,Barton Ltd,283.78,701.69,2026-07-15T15:35:11.470678+00:00
PR-00083,Function-based actuating benchmark,Technology,Accessories,"Smith, Hunter and Hodges",59.27,118.27,2026-07-15T15:35:11.470771+00:00
PR-00084,Face-to-face impactful website,Office Supplies,Paper,Carson Ltd,66.57,84.48,2026-07-15T15:35:11.470807+00:00
PR-00085,Universal background software,Furniture,Chairs,"Bradley, Maynard and Hernandez",336.0,771.25,2026-07-15T15:35:11.470900+00:00
PR-00086,Function-based eco-centric focus group,Technology,Accessories,"Horton, Boyle and Wright",80.48,160.07,2026-07-15T15:35:11.470990+00:00
PR-00087,Front-line disintermediate benchmark,Furniture,Chairs,Stanton-Smith,167.31,298.0,2026-07-15T15:35:11.471054+00:00
PR-00088,Cross-group multi-tasking projection,Office Supplies,Paper,"Diaz, Wiley and Miles",140.24,296.45,2026-07-15T15:35:11.471147+00:00
PR-00089,Switchable well-modulated algorithm,Office Supplies,Storage,Vargas PLC,70.37,173.52,2026-07-15T15:35:11.471183+00:00
PR-00090,Pre-emptive interactive Internet solution,Office Supplies,Storage,Wall Group,177.73,398.94,2026-07-15T15:35:11.471220+00:00
PR-00091,Customer-focused zero tolerance infrastructure,Furniture,Tables,Carter Inc,272.25,531.24,2026-07-15T15:35:11.471255+00:00
PR-00092,Expanded web-enabled toolset,Technology,Accessories,Potts and Sons,324.8,583.57,2026-07-15T15:35:11.471291+00:00
PR-00093,Assimilated local policy,Technology,Copiers,Butler Group,76.07,142.61,2026-07-15T15:35:11.471327+00:00
PR-00094,Digitized intangible alliance,Technology,Copiers,Garza Inc,126.28,246.1,2026-07-15T15:35:11.471365+00:00
PR-00095,Diverse scalable contingency,Furniture,Chairs,"Cross, Travis and Harmon",183.28,356.6,2026-07-15T15:35:11.471454+00:00
PR-00096,Innovative fault-tolerant encryption,Technology,Phones,Benton Group,166.0,357.54,2026-07-15T15:35:11.471490+00:00
PR-00097,Multi-channeled systematic application,Technology,Accessories,"Castillo, Cook and Hill",330.42,511.54,2026-07-15T15:35:11.471583+00:00
PR-00098,Persevering bottom-line attitude,Technology,Accessories,Roberson-Williamson,80.73,199.96,2026-07-15T15:35:11.471647+00:00
PR-00099,Synergized next generation customer loyalty,Furniture,Tables,Petersen and Sons,142.43,171.41,2026-07-15T15:35:11.471683+00:00
PR-00100,Phased exuding implementation,Technology,Accessories,"Fowler, Miller and Mendez",160.16,286.59,2026-07-15T15:35:11.471776+00:00
PR-00101,Fully-configurable real-time superstructure,Office Supplies,Storage,Sellers-Hansen,52.44,126.81,2026-07-15T15:35:11.471839+00:00
PR-00102,Ergonomic methodical customer loyalty,Office Supplies,Storage,Pena-Smith,51.43,106.39,2026-07-15T15:35:11.471903+00:00
PR-00103,Polarized exuding array,Technology,Phones,Haley-Ramirez,350.29,494.68,2026-07-15T15:35:11.471967+00:00
PR-00104,User-centric zero administration website,Furniture,Bookcases,Collins-Zimmerman,346.03,657.01,2026-07-15T15:35:11.472031+00:00
PR-00105,Inverse contextually-based moratorium,Furniture,Tables,"Petersen, Smith and Mcguire",298.6,429.11,2026-07-15T15:35:11.472124+00:00
PR-00106,De-engineered tangible hierarchy,Technology,Phones,Morris-Cooper,270.82,445.45,2026-07-15T15:35:11.472188+00:00
PR-00107,Proactive bottom-line emulation,Office Supplies,Paper,Bird Ltd,48.16,89.06,2026-07-15T15:35:11.472224+00:00
PR-00108,Secured encompassing monitoring,Technology,Phones,"Patton, Mendoza and Martin",321.33,774.13,2026-07-15T15:35:11.472321+00:00
PR-00109,Phased intangible artificial intelligence,Furniture,Tables,Griffin Inc,77.93,179.62,2026-07-15T15:35:11.472362+00:00
PR-00110,Customizable composite knowledgebase,Furniture,Chairs,Barnes-Skinner,320.2,712.42,2026-07-15T15:35:11.472424+00:00
PR-00111,Secured human-resource installation,Technology,Accessories,Klein PLC,308.93,518.58,2026-07-15T15:35:11.472457+00:00
PR-00112,Reactive explicit encryption,Technology,Phones,Hernandez Inc,48.89,108.4,2026-07-15T15:35:11.472493+00:00
PR-00113,Integrated zero-defect process improvement,Furniture,Tables,Perez-Christian,152.65,247.54,2026-07-15T15:35:11.472559+00:00
PR-00114,Enhanced solution-oriented installation,Technology,Copiers,Stout-Reynolds,106.1,204.57,2026-07-15T15:35:11.472624+00:00
PR-00115,Proactive non-volatile moratorium,Technology,Accessories,"Hernandez, Coleman and White",45.34,97.96,2026-07-15T15:35:11.472719+00:00
PR-00116,Open-architected systematic encryption,Office Supplies,Binders,"Jacobson, Marshall and Barron",341.69,655.24,2026-07-15T15:35:11.472814+00:00
PR-00117,Re-contextualized mobile function,Technology,Copiers,"Sosa, Fox and Martin",71.3,150.43,2026-07-15T15:35:11.472910+00:00
PR-00118,Customizable cohesive neural-net,Furniture,Tables,Foster LLC,345.21,667.68,2026-07-15T15:35:11.472947+00:00
PR-00119,Ergonomic composite budgetary management,Office Supplies,Storage,Gentry Inc,51.28,87.1,2026-07-15T15:35:11.472983+00:00
PR-00120,Profit-focused analyzing moratorium,Technology,Accessories,"Costa, Kelley and Jackson",364.05,805.49,2026-07-15T15:35:11.473077+00:00
PR-00121,Reduced background database,Technology,Copiers,Brooks-Ayala,204.1,296.04,2026-07-15T15:35:11.473143+00:00
PR-00122,Progressive 4thgeneration help-desk,Furniture,Bookcases,Anderson Group,54.78,71.51,2026-07-15T15:35:11.473180+00:00
PR-00123,Synergistic 5thgeneration methodology,Technology,Accessories,"Hart, Smith and Montgomery",277.79,398.09,2026-07-15T15:35:11.473275+00:00
PR-00124,Face-to-face multi-state moratorium,Furniture,Bookcases,Bradshaw-Graves,72.42,148.68,2026-07-15T15:35:11.473340+00:00
PR-00125,Monitored bifurcated forecast,Furniture,Chairs,"Carter, Fletcher and Vega",132.89,159.47,2026-07-15T15:35:11.473433+00:00
PR-00126,Compatible web-enabled instruction set,Office Supplies,Binders,"Jimenez, Harding and Hernandez",369.23,711.41,2026-07-15T15:35:11.473527+00:00
PR-00127,Secured transitional firmware,Furniture,Chairs,Bradley Ltd,47.08,93.56,2026-07-15T15:35:11.473562+00:00
PR-00128,Fundamental cohesive implementation,Office Supplies,Binders,Rodriguez-Roberts,281.01,550.41,2026-07-15T15:35:11.473626+00:00
PR-00129,Multi-channeled heuristic groupware,Furniture,Bookcases,"Boyd, Sims and Hernandez",381.61,756.01,2026-07-15T15:35:11.473719+00:00
PR-00130,Compatible system-worthy matrix,Technology,Phones,Johnson-Long,224.65,322.4,2026-07-15T15:35:11.473783+00:00
PR-00131,Public-key value-added initiative,Furniture,Chairs,Ellis PLC,153.22,237.44,2026-07-15T15:35:11.473819+00:00
PR-00132,De-engineered asymmetric leverage,Technology,Accessories,Jimenez-King,133.93,247.74,2026-07-15T15:35:11.473882+00:00
PR-00133,Persevering local solution,Furniture,Bookcases,Leonard-Jefferson,175.18,263.16,2026-07-15T15:35:11.473942+00:00
PR-00134,Quality-focused content-based strategy,Technology,Phones,Williams-Joyce,260.81,348.04,2026-07-15T15:35:11.474006+00:00
PR-00135,Visionary systematic focus group,Technology,Copiers,Moore-Burch,292.23,476.99,2026-07-15T15:35:11.474070+00:00
PR-00136,Exclusive dynamic instruction set,Technology,Phones,Nelson LLC,376.25,868.42,2026-07-15T15:35:11.474105+00:00
PR-00137,Advanced client-server toolset,Office Supplies,Paper,"Ingram, Fowler and Gilmore",351.99,864.2,2026-07-15T15:35:11.474198+00:00
PR-00138,Polarized intangible customer loyalty,Furniture,Chairs,"Washington, Moore and Hurst",397.21,842.89,2026-07-15T15:35:11.474292+00:00
PR-00139,Re-contextualized bandwidth-monitored task-force,Furniture,Tables,Wallace Group,45.87,100.99,2026-07-15T15:35:11.474331+00:00
PR-00140,Right-sized human-resource infrastructure,Office Supplies,Binders,"Perkins, Harris and Bauer",248.45,571.5,2026-07-15T15:35:11.474425+00:00
PR-00141,Grass-roots heuristic interface,Furniture,Bookcases,"Hudson, Rubio and Jacobs",6.48,11.64,2026-07-15T15:35:11.474520+00:00
PR-00142,Open-architected systemic strategy,Technology,Phones,"Petty, Webb and Evans",301.1,741.85,2026-07-15T15:35:11.474614+00:00
PR-00143,Profit-focused leadingedge Local Area Network,Furniture,Chairs,Conley Inc,279.93,590.23,2026-07-15T15:35:11.474650+00:00
PR-00144,Virtual systemic superstructure,Furniture,Chairs,"Frank, Jones and Johnston",399.39,609.17,2026-07-15T15:35:11.474744+00:00
PR-00145,Cloned foreground interface,Furniture,Bookcases,Sexton-Murray,291.58,684.33,2026-07-15T15:35:11.474809+00:00
PR-00146,Function-based fault-tolerant firmware,Technology,Copiers,"Wright, Gibson and Garcia",173.04,213.27,2026-07-15T15:35:11.474903+00:00
PR-00147,Vision-oriented national complexity,Furniture,Chairs,"Hines, Avery and Lloyd",209.59,489.37,2026-07-15T15:35:11.475003+00:00
PR-00148,Ergonomic systemic intranet,Technology,Copiers,Harper-Johnson,171.12,254.66,2026-07-15T15:35:11.475074+00:00
PR-00149,Multi-lateral maximized system engine,Office Supplies,Storage,Hernandez-Powell,336.78,832.08,2026-07-15T15:35:11.475138+00:00
PR-00150,Fully-configurable holistic projection,Office Supplies,Storage,Stein LLC,31.06,44.06,2026-07-15T15:35:11.475175+00:00
PR-00151,Ergonomic high-level forecast,Furniture,Chairs,Guerrero-Evans,232.31,481.05,2026-07-15T15:35:11.475239+00:00
PR-00152,Diverse fault-tolerant analyzer,Technology,Copiers,Flores-Henson,45.35,89.11,2026-07-15T15:35:11.475310+00:00
PR-00153,Enhanced incremental info-mediaries,Technology,Phones,Ramirez Inc,22.26,42.83,2026-07-15T15:35:11.475350+00:00
PR-00154,Multi-lateral 4thgeneration flexibility,Technology,Accessories,"Hancock, Johnston and Sullivan",278.56,559.86,2026-07-15T15:35:11.475451+00:00
PR-00155,Grass-roots foreground focus group,Technology,Phones,"Curtis, Gonzalez and Hudson",370.72,894.7,2026-07-15T15:35:11.475555+00:00
PR-00156,Switchable holistic throughput,Furniture,Chairs,"Crane, Ellis and Pierce",225.84,379.71,2026-07-15T15:35:11.475660+00:00
PR-00157,Sharable responsive secured line,Furniture,Chairs,Montoya-Murphy,181.32,382.27,2026-07-15T15:35:11.475744+00:00
PR-00158,Re-contextualized interactive info-mediaries,Furniture,Tables,Coleman and Sons,306.67,419.98,2026-07-15T15:35:11.475793+00:00
PR-00159,Programmable client-driven adapter,Technology,Accessories,Woods-Garcia,151.85,261.27,2026-07-15T15:35:11.475859+00:00
PR-00160,Cross-platform real-time circuit,Furniture,Bookcases,"Velazquez, Green and Lambert",376.41,852.53,2026-07-15T15:35:11.475947+00:00
PR-00161,Phased multi-state support,Technology,Accessories,Navarro Ltd,211.14,283.39,2026-07-15T15:35:11.475981+00:00
PR-00162,Persevering cohesive pricing structure,Furniture,Bookcases,Adkins-Sanders,230.45,488.4,2026-07-15T15:35:11.476045+00:00
PR-00163,Public-key responsive implementation,Furniture,Tables,"Jacobs, Moore and Castillo",171.35,406.8,2026-07-15T15:35:11.476137+00:00
PR-00164,Cloned zero administration implementation,Office Supplies,Paper,Chen Group,197.24,377.59,2026-07-15T15:35:11.476174+00:00
PR-00165,Synergistic fresh-thinking Internet solution,Furniture,Chairs,Wagner and Sons,315.18,406.29,2026-07-15T15:35:11.476210+00:00
PR-00166,Organized homogeneous interface,Furniture,Bookcases,Underwood Inc,279.07,674.04,2026-07-15T15:35:11.476245+00:00
PR-00167,Future-proofed systematic middleware,Furniture,Tables,"Strong, Hobbs and Macias",254.55,350.21,2026-07-15T15:35:11.476338+00:00
PR-00168,Networked zero tolerance adapter,Furniture,Chairs,Cohen Inc,331.35,683.06,2026-07-15T15:35:11.476375+00:00
PR-00169,Future-proofed transitional service-desk,Office Supplies,Binders,"Todd, Gibson and Moore",323.13,757.85,2026-07-15T15:35:11.476478+00:00
PR-00170,Multi-channeled systematic collaboration,Technology,Accessories,Johnson-Payne,283.22,386.67,2026-07-15T15:35:11.476544+00:00
PR-00171,Distributed attitude-oriented moderator,Furniture,Chairs,Nunez Ltd,163.9,395.53,2026-07-15T15:35:11.476580+00:00
PR-00172,Robust 24hour software,Technology,Phones,Hines-Perry,76.61,181.85,2026-07-15T15:35:11.476649+00:00
PR-00173,Intuitive non-volatile model,Furniture,Tables,Franco LLC,316.91,729.33,2026-07-15T15:35:11.476687+00:00
PR-00174,Function-based non-volatile core,Office Supplies,Paper,Newton-Anderson,217.94,392.31,2026-07-15T15:35:11.476751+00:00
PR-00175,Seamless content-based support,Office Supplies,Binders,Lowe-Rogers,121.11,160.15,2026-07-15T15:35:11.476815+00:00
PR-00176,Horizontal multi-tasking array,Technology,Phones,Garrison-Greene,197.8,304.03,2026-07-15T15:35:11.476879+00:00
PR-00177,Proactive leadingedge implementation,Furniture,Bookcases,"Ramirez, Hayes and Warren",89.32,157.13,2026-07-15T15:35:11.476974+00:00
PR-00178,Future-proofed empowering instruction set,Furniture,Bookcases,Fleming-Johnson,58.53,131.24,2026-07-15T15:35:11.477038+00:00
PR-00179,Enhanced optimal help-desk,Technology,Accessories,"Rogers, Hoffman and Garcia",378.64,796.14,2026-07-15T15:35:11.477131+00:00
PR-00180,De-engineered zero administration superstructure,Technology,Accessories,"Baker, Olsen and Stewart",385.92,680.33,2026-07-15T15:35:11.477225+00:00
PR-00181,Decentralized tertiary time-frame,Technology,Accessories,Pugh-Webb,120.94,199.33,2026-07-15T15:35:11.477289+00:00
PR-00182,Visionary scalable matrix,Office Supplies,Binders,"Patel, Burch and Holland",104.51,187.43,2026-07-15T15:35:11.477382+00:00
PR-00183,Configurable radical concept,Office Supplies,Storage,Hernandez Group,190.45,312.12,2026-07-15T15:35:11.477418+00:00
PR-00184,Automated 4thgeneration time-frame,Technology,Phones,Obrien Inc,271.08,553.04,2026-07-15T15:35:11.477454+00:00
PR-00185,Up-sized static encryption,Technology,Copiers,Baker-Lindsey,194.65,456.03,2026-07-15T15:35:11.477517+00:00
PR-00186,Streamlined attitude-oriented software,Furniture,Bookcases,"Ray, Hopkins and James",310.09,535.54,2026-07-15T15:35:11.477613+00:00
PR-00187,Re-contextualized next generation parallelism,Office Supplies,Paper,Jackson-Stewart,270.21,427.39,2026-07-15T15:35:11.477680+00:00
PR-00188,Grass-roots homogeneous superstructure,Furniture,Chairs,Davis LLC,63.6,114.96,2026-07-15T15:35:11.477720+00:00
PR-00189,Innovative real-time circuit,Office Supplies,Binders,Farrell-Bailey,349.26,683.33,2026-07-15T15:35:11.477792+00:00
PR-00190,Function-based national archive,Technology,Accessories,"Stein, Reeves and Proctor",102.37,154.98,2026-07-15T15:35:11.477886+00:00
PR-00191,Proactive non-volatile system engine,Office Supplies,Binders,Williams-Peterson,117.87,171.46,2026-07-15T15:35:11.477950+00:00
PR-00192,Front-line dedicated open system,Furniture,Chairs,Huang-Nichols,271.42,478.14,2026-07-15T15:35:11.478022+00:00
PR-00193,Balanced tertiary alliance,Office Supplies,Binders,"Newton, Mendoza and Fields",287.86,372.09,2026-07-15T15:35:11.478131+00:00
PR-00194,Compatible maximized encoding,Technology,Phones,"Phillips, Coleman and Anderson",259.19,399.62,2026-07-15T15:35:11.478237+00:00
PR-00195,Robust value-added contingency,Furniture,Tables,Adams Inc,280.49,647.09,2026-07-15T15:35:11.478272+00:00
PR-00196,Robust intermediate software,Technology,Phones,Galloway-Davila,187.38,441.69,2026-07-15T15:35:11.478336+00:00
PR-00197,Re-engineered static project,Office Supplies,Binders,Foster LLC,259.2,537.01,2026-07-15T15:35:11.478372+00:00
PR-00198,Object-based tertiary database,Technology,Accessories,Lee Inc,8.26,13.11,2026-07-15T15:35:11.478407+00:00
PR-00199,Optimized dedicated project,Office Supplies,Binders,Ruiz Group,362.93,841.96,2026-07-15T15:35:11.478438+00:00
PR-00200,Function-based intermediate architecture,Furniture,Bookcases,"Hall, Ellison and Hoffman",9.62,19.68,2026-07-15T15:35:11.478530+00:00
